eleccion_tipo,provincia,agrupacion,porc_votos
GENERAL,San Juan,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.022583203
PASO,San Juan,HACEMOS POR NUESTRO PAIS,0.017414581
PASO,San Juan,JUNTOS POR EL CAMBIO,0.296595874
PASO,San Juan,LA LIBERTAD AVANZA,0.363286952
PASO,San Juan,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.013896816
PASO,San Juan,UNION POR LA PATRIA,0.308805778
GENERAL,San Luis,LA LIBERTAD AVANZA,0.433746317
GENERAL,San Luis,JUNTOS POR EL CAMBIO,0.209652472
GENERAL,San Luis,HACEMOS POR NUESTRO PAIS,0.062800993
GENERAL,San Luis,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.021848734
GENERAL,San Luis,UNION POR LA PATRIA,0.271951484
PASO,San Luis,LA LIBERTAD AVANZA,0.5139888
PASO,San Luis,HACEMOS POR NUESTRO PAIS,0.031350543
PASO,San Luis,JUNTOS POR EL CAMBIO,0.252606538
PASO,San Luis,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.014952498
PASO,San Luis,UNION POR LA PATRIA,0.187101621
GENERAL,Santa Cruz,LA LIBERTAD AVANZA,0.362981161
GENERAL,Santa Cruz,JUNTOS POR EL CAMBIO,0.163594765
GENERAL,Santa Cruz,HACEMOS POR NUESTRO PAIS,0.065848916
GENERAL,Santa Cruz,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.028805626
GENERAL,Santa Cruz,UNION POR LA PATRIA,0.378769532
PASO,Santa Cruz,UNION POR LA PATRIA,0.305991157
PASO,Santa Cruz,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.026194414
PASO,Santa Cruz,HACEMOS POR NUESTRO PAIS,0.029255996
PASO,Santa Cruz,JUNTOS POR EL CAMBIO,0.223543164
PASO,Santa Cruz,LA LIBERTAD AVANZA,0.415015268
GENERAL,Santa Fe,LA LIBERTAD AVANZA,0.324767501
GENERAL,Santa Fe,JUNTOS POR EL CAMBIO,0.268911359
GENERAL,Santa Fe,HACEMOS POR NUESTRO PAIS,0.090449763
GENERAL,Santa Fe,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.019033922
GENERAL,Santa Fe,UNION POR LA PATRIA,0.296837455
PASO,Santa Fe,HACEMOS POR NUESTRO PAIS,0.039476936
PASO,Santa Fe,JUNTOS POR EL CAMBIO,0.338815219
PASO,Santa Fe,LA LIBERTAD AVANZA,0.377640662
PASO,Santa Fe,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.018022677
PASO,Santa Fe,UNION POR LA PATRIA,0.226044506
GENERAL,Santiago del Estero,LA LIBERTAD AVANZA,0.22980597
GENERAL,Santiago del Estero,JUNTOS POR EL CAMBIO,0.080904565
GENERAL,Santiago del Estero,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.012657343
GENERAL,Santiago del Estero,HACEMOS POR NUESTRO PAIS,0.021632106
GENERAL,Santiago del Estero,UNION POR LA PATRIA,0.655000016
PASO,Santiago del Estero,UNION POR LA PATRIA,0.570565435
PASO,Santiago del Estero,LA LIBERTAD AVANZA,0.288862949
PASO,Santiago del Estero,JUNTOS POR EL CAMBIO,0.113705138
PASO,Santiago del Estero,HACEMOS POR NUESTRO PAIS,0.015465867
PASO,Santiago del Estero,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.011400612
GENERAL,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",UNION POR LA PATRIA,0.382099341
GENERAL,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",LA LIBERTAD AVANZA,0.338214646
GENERAL,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",JUNTOS POR EL CAMBIO,0.149596208
GENERAL,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",HACEMOS POR NUESTRO PAIS,0.091538744
GENERAL,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.038551061
PASO,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",UNION POR LA PATRIA,0.317052271
PASO,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",HACEMOS POR NUESTRO PAIS,0.046218937
PASO,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",LA LIBERTAD AVANZA,0.382358612
PASO,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",JUNTOS POR EL CAMBIO,0.225417738
PASO,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.028952442
GENERAL,Tucumán,LA LIBERTAD AVANZA,0.349394036
GENERAL,Tucumán,JUNTOS POR EL CAMBIO,0.14618546
GENERAL,Tucumán,HACEMOS POR NUESTRO PAIS,0.040177374
GENERAL,Tucumán,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.014464847
GENERAL,Tucumán,UNION POR LA PATRIA,0.449778283
PASO,Tucumán,JUNTOS POR EL CAMBIO,0.232532194
PASO,Tucumán,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.018008777
PASO,Tucumán,HACEMOS POR NUESTRO PAIS,0.012697935
PASO,Tucumán,LA LIBERTAD AVANZA,0.38500628
PASO,Tucumán,UNION POR LA PATRIA,0.351754814
